logo,id,name,abbrev,retirement,debut
/wp-content/themes/squiggle/assets/images/Adelaide.png,1,Adelaide,ADE,9999,1991
/wp-content/themes/squiggle/assets/images/Brisbane.png,2,Brisbane Lions,BRI,9999,1987
/wp-content/themes/squiggle/assets/images/Carlton.png,3,Carlton,CAR,9999,1897
/wp-content/themes/squiggle/assets/images/Collingwood.png,4,Collingwood,COL,9999,1897
/wp-content/themes/squiggle/assets/images/Essendon.png,5,Essendon,ESS,9999,1897
/wp-content/themes/squiggle/assets/images/Fremantle.png,6,Fremantle,FRE,9999,1995
/wp-content/themes/squiggle/assets/images/Geelong.png,7,Geelong,GEE,9999,1897
/wp-content/themes/squiggle/assets/images/GoldCoast.png,8,Gold Coast,GCS,9999,2011
/wp-content/themes/squiggle/assets/images/Giants.png,9,Greater Western Sydney,GWS,9999,2012
/wp-content/themes/squiggle/assets/images/Hawthorn.png,10,Hawthorn,HAW,9999,1925
/wp-content/themes/squiggle/assets/images/Melbourne.png,11,Melbourne,MEL,9999,1897
/wp-content/themes/squiggle/assets/images/NorthMelbourne.png,12,North Melbourne,NOR,9999,1925
/wp-content/themes/squiggle/assets/images/PortAdelaide.png,13,Port Adelaide,POR,9999,1997
/wp-content/themes/squiggle/assets/images/Richmond.png,14,Richmond,RIC,9999,1908
/wp-content/themes/squiggle/assets/images/StKilda.png,15,St Kilda,STK,9999,1897
/wp-content/themes/squiggle/assets/images/Sydney.png,16,Sydney,SYD,9999,1897
/wp-content/themes/squiggle/assets/images/WestCoast.png,17,West Coast,WCE,9999,1987
/wp-content/themes/squiggle/assets/images/Bulldogs.png,18,Western Bulldogs,WBD,9999,1925
